name,artist,track_URI,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist
What Ifs (feat. Lauren Alaina),Kane Brown,spotify:track:7zVCrzzEJU7u24sbJPXA5W,0.00898,0.612,0.799,0.0,0.172,-4.603,0.0275,125.976,0.687,The Longest Playlist on Spotify® (Official)
Do I Make You Wanna,Billy Currington,spotify:track:3I7krC8kr0gFR7P6vInR1I,0.106,0.553,0.747,0.0,0.154,-5.432,0.0279,90.012,0.521,The Longest Playlist on Spotify® (Official)
Happens Like That,Granger Smith,spotify:track:5Zx1zVpDJsNgyY3HvNfsfC,0.189,0.557,0.807,0.0,0.234,-5.428,0.0825,81.045,0.578,The Longest Playlist on Spotify® (Official)
We Were That Song,Brett Kissel,spotify:track:6OUdBkpAQtKyZ74cKukZ9W,0.216,0.618,0.911,0.0,0.132,-3.323,0.05,102.956,0.501,The Longest Playlist on Spotify® (Official)
Down,Jay Sean,spotify:track:7LP4Es66zdY7CyjepqmvAg,0.0108,0.657,0.695,0.0,0.0822,-4.493,0.0321,65.997,0.683,The Longest Playlist on Spotify® (Official)
Hey Ya!,Outkast,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,0.103,0.727,0.974,0.000532,0.174,-2.261,0.0664,79.526,0.965,The Longest Playlist on Spotify® (Official)
Never Forget You,Zara Larsson,spotify:track:6WLS56xiRrXjSm9RSdL3zD,0.00312,0.583,0.732,9.86e-06,0.269,-5.728,0.0457,145.992,0.276,The Longest Playlist on Spotify® (Official)
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P,0.0353,0.664,0.714,8.42e-06,0.0843,-6.645,0.111,101.969,0.71,The Longest Playlist on Spotify® (Official)
Wrecking Ball,Miley Cyrus,spotify:track:2vwlzO0Qp8kfEtzTsCXfyE,0.407,0.53,0.422,0.0,0.107,-6.262,0.0342,119.964,0.349,The Longest Playlist on Spotify® (Official)
Shower,Becky G,spotify:track:3DmW6y7wTEYHJZlLo1r6XJ,0.0317,0.699,0.529,3.59e-05,0.285,-7.548,0.0487,119.987,0.121,The Longest Playlist on Spotify® (Official)
It Ain’t Me (with Selena Gomez),Kygo,spotify:track:12GEpg2XOPyqk03JZEZnJs,0.119,0.64,0.533,0.0,0.0864,-6.596,0.0706,99.968,0.515,The Longest Playlist on Spotify® (Official)
Trumpets,Jason Derulo,spotify:track:5KONnBIQ9LqCxyeSPin26k,0.555,0.635,0.691,0.0,0.097,-4.862,0.258,82.142,0.638,The Longest Playlist on Spotify® (Official)
Coming Home,Diddy - Dirty Money,spotify:track:6Iocm6VMu6bVNYwiDoyQFW,0.158,0.392,0.839,0.0,0.3,-1.921,0.193,168.001,0.232,The Longest Playlist on Spotify® (Official)
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,spotify:track:5knuzwU65gJK7IF5yJsuaW,0.406,0.72,0.763,0.0,0.18,-4.068,0.0523,101.965,0.742,The Longest Playlist on Spotify® (Official)
Baby,Justin Bieber,spotify:track:6epn3r7S14KUqlReYr77hA,0.0401,0.728,0.859,0.0,0.111,-5.237,0.137,65.043,0.535,The Longest Playlist on Spotify® (Official)
Umbrella,Rihanna,spotify:track:49FYlytm3dAAraYgpoJZux,0.00864,0.583,0.829,0.0,0.0426,-4.603,0.134,174.028,0.575,The Longest Playlist on Spotify® (Official)
Replay,Iyaz,spotify:track:5vlEg2fT4cFWAqU5QptIpQ,0.173,0.706,0.751,0.0,0.168,-6.323,0.0708,91.031,0.195,The Longest Playlist on Spotify® (Official)
Dynamite,Taio Cruz,spotify:track:1DqdF42leyFIzqNDv9CjId,0.00332,0.754,0.804,0.0,0.0329,-3.177,0.0853,119.968,0.818,The Longest Playlist on Spotify® (Official)
I Gotta Feeling,Black Eyed Peas,spotify:track:4vp2J1l5RD4gMZwGFLfRAu,0.0873,0.743,0.766,0.0,0.509,-6.375,0.0265,127.96,0.61,The Longest Playlist on Spotify® (Official)
Some Nights,fun.,spotify:track:67WTwafOMgegV6ABnBQxcE,0.0178,0.672,0.738,6.75e-05,0.0927,-7.045,0.0506,107.938,0.392,The Longest Playlist on Spotify® (Official)
Escape (The Pina Colada Song),Rupert Holmes,spotify:track:5IMtdHjJ1OtkxbGe4zfUxQ,0.467,0.836,0.509,4.1e-06,0.0436,-13.668,0.0548,138.714,0.949,The Longest Playlist on Spotify® (Official)
Ain't No Mountain High Enough,Marvin Gaye,spotify:track:1LeWIs2hP2r5yOQnVuYoI5,0.43,0.663,0.6,0.0,0.184,-10.87,0.032,129.991,0.8,The Longest Playlist on Spotify® (Official)
Brighter Than The Sun,Colbie Caillat,spotify:track:5YTtTbqxUzJHD3CpbNHerP,0.00952,0.629,0.793,1.15e-06,0.218,-5.942,0.0346,95.981,0.588,The Longest Playlist on Spotify® (Official)
Sweet Caroline - Single Version,Neil Diamond,spotify:track:6l7tK5SsMlN8a9ccgeIkpS,0.505,0.556,0.161,4.36e-05,0.28,-13.944,0.0297,126.534,0.588,The Longest Playlist on Spotify® (Official)
Love Shack,The B-52's,spotify:track:4W4wYHtsrgDiivRASVOINL,0.0544,0.701,0.803,1.54e-06,0.7,-6.786,0.0545,133.608,0.903,The Longest Playlist on Spotify® (Official)
Walking On Sunshine,Katrina & The Waves,spotify:track:05wIrZSwuaVWhcv5FfqeH0,0.0116,0.596,0.869,0.173,0.0678,-11.97,0.037,109.902,0.944,The Longest Playlist on Spotify® (Official)
Riptide,Vance Joy,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,0.431,0.484,0.731,0.0,0.151,-6.694,0.0379,101.654,0.51,The Longest Playlist on Spotify® (Official)
Ho Hey,The Lumineers,spotify:track:2nXM8IVqKtyO6JKsLlXWAy,0.802,0.684,0.47,0.0,0.0711,-9.088,0.0325,79.934,0.381,The Longest Playlist on Spotify® (Official)
Don't Stop Believin',Journey,spotify:track:3HRQtRUYnnuZY7fE900XtJ,0.254,0.495,0.781,0.0,0.395,-8.109,0.0413,119.206,0.473,The Longest Playlist on Spotify® (Official)
All Star,Smash Mouth,spotify:track:22c2pt75xtnDddA5Zlm0yy,0.0398,0.73,0.862,0.0,0.0818,-5.876,0.0313,104.018,0.77,The Longest Playlist on Spotify® (Official)
Single Ladies (Put a Ring on It),Beyoncé,spotify:track:5R9a4t5t5O0IsznsrKPVro,0.0383,0.426,0.584,0.0,0.188,-5.293,0.296,193.437,0.272,The Longest Playlist on Spotify® (Official)
Ridin' Solo,Jason Derulo,spotify:track:7ksYJ95P5vP87A0GH34CIk,0.128,0.442,0.83,0.0,0.129,-4.02,0.146,89.338,0.578,The Longest Playlist on Spotify® (Official)
What Makes You Beautiful,One Direction,spotify:track:03oZejWqXLbKhhM4iTgShq,0.00851,0.726,0.778,0.0,0.082,-2.483,0.0784,125.0,0.868,The Longest Playlist on Spotify® (Official)
Call Me Maybe,Carly Rae Jepsen,spotify:track:20I6sIOMTCkB6w7ryavxtO,0.0114,0.783,0.58,2.28e-06,0.108,-6.548,0.0408,120.021,0.66,The Longest Playlist on Spotify® (Official)
Sweet Home Alabama,Lynyrd Skynyrd,spotify:track:6RgGppm2SSX5p246UqfdEi,0.0915,0.609,0.661,0.000482,0.254,-9.549,0.0252,97.93,0.892,The Longest Playlist on Spotify® (Official)
Livin' On A Prayer,Bon Jovi,spotify:track:3X7abqSXC4xrxuC1ykpWcY,0.0599,0.522,0.882,0.00021,0.33,-3.216,0.0359,122.541,0.815,The Longest Playlist on Spotify® (Official)
Have You Ever Seen The Rain,Creedence Clearwater Revival,spotify:track:2LawezPeJhN4AWuSB0GtAU,0.0664,0.741,0.697,2.28e-05,0.133,-7.028,0.0277,116.109,0.774,The Longest Playlist on Spotify® (Official)
September,"Earth, Wind & Fire",spotify:track:5e3l460eVGMNqQgFc9Rv7q,0.151,0.692,0.803,0.000808,0.181,-8.627,0.0301,125.919,0.981,The Longest Playlist on Spotify® (Official)
Ice Ice Baby,Vanilla Ice,spotify:track:66AiuTr5v9tw6B8gXau2aU,0.0128,0.949,0.876,0.0,0.124,-6.472,0.0567,117.579,0.483,The Longest Playlist on Spotify® (Official)
Say Something,A Great Big World,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,0.857,0.407,0.147,2.89e-06,0.0913,-8.822,0.0355,141.284,0.0765,The Longest Playlist on Spotify® (Official)
Life is a Highway,Rascal Flatts,spotify:track:2Fs18NaCDuluPG1DHGw1XG,0.00324,0.582,0.952,0.0,0.223,-3.848,0.0731,103.027,0.655,The Longest Playlist on Spotify® (Official)
Just the Way You Are,Bruno Mars,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,0.0134,0.635,0.841,0.0,0.0622,-5.379,0.0422,109.021,0.424,The Longest Playlist on Spotify® (Official)
Jack & Diane,John Mellencamp,spotify:track:43btz2xjMKpcmjkuRsvxyg,0.0365,0.811,0.41,6.63e-06,0.0799,-8.214,0.0391,103.965,0.626,The Longest Playlist on Spotify® (Official)
Free Fallin',Tom Petty,spotify:track:7woZGXjtaYwuvSoU1zToB3,0.178,0.617,0.435,0.0,0.0822,-13.547,0.0256,84.382,0.601,The Longest Playlist on Spotify® (Official)
Home,Phillip Phillips,spotify:track:4rsW3WCZBGwhHfJWuHRwyT,0.0256,0.606,0.826,1.56e-05,0.117,-6.04,0.0307,121.04,0.322,The Longest Playlist on Spotify® (Official)
Chicken Fried,Zac Brown Band,spotify:track:4dGJf1SER1T6ooX46vwzRB,0.645,0.566,0.713,0.0,0.114,-4.25,0.0417,169.864,0.807,The Longest Playlist on Spotify® (Official)
Love Story,Taylor Swift,spotify:track:0kN3oXYWWAk1uC0y2WoyOE,0.157,0.618,0.736,0.0,0.073,-3.937,0.0308,118.982,0.307,The Longest Playlist on Spotify® (Official)
Wagon Wheel,Darius Rucker,spotify:track:3xdjjKMcMOFgo1eQrfbogM,0.455,0.537,0.66,0.0,0.135,-7.174,0.0296,148.096,0.574,The Longest Playlist on Spotify® (Official)
Take on Me,a-ha,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,0.018,0.573,0.902,0.00125,0.0928,-7.638,0.054,84.412,0.876,The Longest Playlist on Spotify® (Official)
Timber (feat. Ke$ha),Pitbull,spotify:track:3cHyrEgdyYRjgJKSOiOtcS,0.0295,0.581,0.963,0.0,0.139,-4.087,0.0981,129.992,0.788,The Longest Playlist on Spotify® (Official)
Song of the South,Alabama,spotify:track:4uUwD0uYzIDjKMKQglzmD2,0.189,0.486,0.647,0.0,0.305,-8.066,0.0337,162.218,0.628,The Longest Playlist on Spotify® (Official)
Dixieland Delight - Single Edit,Alabama,spotify:track:4swEkkLocrQ569W1lYIbdX,0.208,0.464,0.405,1.1e-05,0.0749,-12.538,0.033,95.852,0.514,The Longest Playlist on Spotify® (Official)
"Hey, Soul Sister",Train,spotify:track:7lJSxSUUlrZ7CxiyO3X0vq,0.166,0.666,0.868,0.0,0.0828,-6.188,0.0407,97.039,0.806,The Longest Playlist on Spotify® (Official)
